Date,Hour,Ontario Demand,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West,Zone Total,Diff,SourceYear
2020-01-01,1,13219,523,1200,914,847,4718,902,64,2564,399,1290,13419,200,2020
2020-01-01,2,12895,518,1190,887,826,4571,869,60,2504,384,1273,13082,187,2020
2020-01-01,3,12554,519,1201,865,803,4443,839,60,2404,373,1260,12768,214,2020
2020-01-01,4,12360,519,1183,852,789,4356,825,59,2406,361,1241,12591,231,2020
2020-01-01,5,12353,520,1194,852,809,4317,826,60,2403,360,1244,12586,232,2020
2020-01-01,6,12458,517,1171,870,829,4343,845,64,2417,368,1260,12684,226,2020
2020-01-01,7,12729,526,1175,902,852,4437,875,66,2491,382,1306,13012,283,2020
2020-01-01,8,13180,542,1135,921,912,4519,900,68,2518,395,1363,13274,94,2020
2020-01-01,9,13406,543,1149,940,951,4563,922,72,2633,405,1378,13556,151,2020
2020-01-01,10,13765,552,1162,975,990,4705,959,75,2703,424,1366,13910,145,2020
2020-01-01,11,14078,558,1168,1001,1010,4899,988,74,2807,448,1307,14259,181,2020
2020-01-01,12,14373,562,1163,1023,1002,5074,978,71,2916,460,1248,14497,125,2020
2020-01-01,13,14495,560,1178,1043,992,5222,984,72,2816,470,1225,14562,67,2020
2020-01-01,14,14513,555,1173,1041,966,5263,1014,73,2838,476,1209,14608,95,2020
2020-01-01,15,14690,552,1217,1033,986,5242,1040,70,2860,463,1247,14709,19,2020
2020-01-01,16,14753,549,1232,1025,1017,5224,1060,72,2917,456,1344,14895,142,2020
2020-01-01,17,15490,588,1278,1096,1088,5360,1124,76,3079,469,1484,15642,152,2020
2020-01-01,18,16324,596,1289,1158,1121,5768,1212,76,3238,503,1564,16525,200,2020
2020-01-01,19,16208,594,1276,1127,1116,5787,1192,69,3187,494,1545,16387,178,2020
2020-01-01,20,15911,587,1255,1096,1092,5691,1156,63,3130,482,1493,16045,134,2020
2020-01-01,21,15535,582,1268,1068,1032,5583,1121,62,3085,469,1443,15714,179,2020
2020-01-01,22,15222,578,1268,1043,998,5419,1068,57,2984,451,1414,15280,57,2020
2020-01-01,23,14426,574,1269,989,956,5182,992,57,2839,424,1345,14629,203,2020
2020-01-01,24,13698,560,1231,925,897,4889,920,58,2651,396,1286,13813,114,2020
2020-01-02,1,12996,544,1190,879,840,4641,869,55,2521,377,1260,13176,180,2020
2020-01-02,2,12662,535,1168,852,816,4464,831,54,2476,394,1249,12839,177,2020
2020-01-02,3,12435,536,1160,839,810,4348,818,53,2421,369,1253,12606,171,2020
2020-01-02,4,12365,539,1149,836,820,4301,813,53,2438,375,1254,12579,214,2020
2020-01-02,5,12481,535,1188,854,811,4326,822,53,2491,369,1266,12716,235,2020
2020-01-02,6,12940,542,1148,897,849,4511,858,54,2599,383,1306,13147,208,2020
2020-01-02,7,13999,561,1138,982,922,4891,927,58,2810,410,1402,14100,102,2020
2020-01-02,8,15238,579,1199,1047,1021,5341,1003,62,3121,446,1513,15332,95,2020
2020-01-02,9,15655,586,1270,1078,1042,5571,1038,64,3190,459,1560,15859,204,2020
2020-01-02,10,15819,605,1278,1094,995,5689,1046,66,3175,453,1574,15976,157,2020
2020-01-02,11,15839,554,1311,1096,922,5750,980,63,3239,454,1556,15925,86,2020
2020-01-02,12,15846,547,1315,1098,840,5924,914,64,3230,453,1497,15882,35,2020
2020-01-02,13,15685,539,1345,1085,878,5942,954,65,3203,460,1436,15906,221,2020
2020-01-02,14,15926,536,1347,1066,920,5960,991,59,3242,477,1412,16010,84,2020
2020-01-02,15,15932,531,1363,1074,970,5917,1013,60,3171,475,1455,16029,97,2020
2020-01-02,16,16048,549,1330,1103,1034,5891,1043,62,3251,481,1545,16289,241,2020
2020-01-02,17,16846,578,1370,1166,1119,6071,1113,63,3396,491,1603,16969,124,2020
2020-01-02,18,17621,584,1364,1229,1178,6327,1194,64,3560,516,1635,17649,29,2020
2020-01-02,19,17331,592,1361,1198,1152,6258,1175,61,3517,510,1636,17460,130,2020
